latitude,longitude,area_km2
36.67088,-5.224122,1262.6434
24.985828,82.60741,4400.5254
28.63946,77.273796,0.10020382
30.647913,-97.600914,2925.2537
-3.1344419,-59.996666,0.47885752
-6.825002,110.88728,1.0063978
20.980093,105.77496,0.049140558
30.913464,76.196175,3.2604592
50.388462,30.860723,0.017027138
-2.5551386,115.36082,2.0162976
-7.3706193,112.660995,0.80196905
-1.2077802,116.87499,0.01072853
-12.94296,-38.47493,0.23658983
36.555435,128.76099,1.9652228
26.485075,85.52424,1.5275968
40.560448,0.6723368,0.018809237
53.397774,-2.9160972,128.86707
3.4296315,99.07433,11.96478
41.944347,12.537276,0.18633588
0.96880776,124.7906,64.57638
49.16026,3.4370964,19.25417
18.340439,-66.3096,5.312426
44.00128,11.236845,0.038100112
40.013004,32.871292,1.0400386
-29.667511,-50.76158,448.70108
48.911057,11.863295,100.490166
26.432467,86.25107,0.15706934
-29.980438,-51.19742,2.1075902
37.223595,-3.6932724,0.017247843
29.448969,-98.518425,3270.727
5.377635,-3.9618347,133.23964
38.51092,-86.516426,0.80253965
38.552845,43.697205,1.2701037
26.303383,86.23435,0.022127323
42.73129,11.7508545,0.06341697
-2.5865688,115.38279,0.020148523
38.75142,30.554573,23.354332
21.45072,105.52086,5.8460665
41.65208,82.75762,0.018503804
26.332605,86.07209,0.022121862
11.539608,76.02412,2.688143
39.448715,-1.2115353,0.13760418
-2.9882276,-60.009747,7.3256893
23.723898,90.49654,0.11542028
14.787756,-86.8597,0.56027263
8.487609,123.37014,2.4286683
49.0114,8.412713,162.85593
12.906732,77.63794,0.64396715
36.87188,128.59814,683.9889
21.135828,-86.86106,166.83432
25.678638,72.58797,2.648585
44.81252,9.988834,3.4249957
19.70372,-101.20008,131.08456
-21.650099,-49.68136,561.8709
-7.036489,112.39051,0.7573345
11.814982,13.162601,0.063118614
20.639515,-103.36226,3.230779
-6.925837,110.06524,29.924105
